City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,shache,38.4167,77.2406,10.56,48,100,3.75,CN,1731337556
145,alice springs,-23.7,133.8833,22.75,78,20,3.09,AU,1731337558
146,flying fish cove,-10.4217,105.6791,25.82,94,100,4.12,CX,1731337559
147,novyye lapsary,56.0685,47.2142,-0.16,86,75,3.0,RU,1731337560
148,coyhaique,-45.5752,-72.0662,5.99,98,100,3.33,CL,1731337561
149,palapag,12.5458,125.1147,25.11,96,99,1.79,PH,1731337562
150,sitka,57.0531,-135.33,8.94,61,40,5.14,US,1731337564
151,veranopolis,-28.9361,-51.5494,31.75,29,6,3.23,BR,1731337348
152,ta`u,-14.2336,-169.5144,27.1,78,100,7.15,AS,1731337566
153,eydhafushi,5.1033,73.0708,28.59,67,59,2.34,MV,1731337567
154,guarapari,-20.6667,-40.4975,24.46,68,28,3.18,BR,1731337380
155,banepa,27.6298,85.5214,16.18,88,20,2.57,NP,1731337569
156,tselinnoye,53.0833,85.6667,-4.42,97,100,2.67,RU,1731337570
157,lieksa,63.3167,30.0167,1.42,81,100,3.87,FI,1731337572
158,santana,-0.0583,-51.1817,34.1,59,40,5.14,BR,1731337465
159,el granada,37.5027,-122.4694,15.24,93,100,5.66,US,1731337574
160,san antonio de pale,-1.4014,5.6325,26.35,81,96,4.18,GQ,1731337575
161,longyearbyen,78.2186,15.6401,-0.09,93,75,2.57,SJ,1731337576
162,broken hill,-31.95,141.4333,17.45,81,99,4.37,AU,1731337577
163,lake albert,-35.1667,147.3833,14.61,45,59,1.69,AU,1731337578
164,saldanha,-33.0117,17.9442,18.36,71,25,5.43,ZA,1731337580
165,lompoc,34.6391,-120.4579,7.85,87,0,3.09,US,1731337502
166,sandnessjoen,66.0217,12.6316,5.06,87,75,1.54,NO,1731337582
167,maun,-19.9833,23.4167,22.98,94,75,4.63,BW,1731337583
168,punta arenas,-53.15,-70.9167,10.06,66,100,10.29,CL,1731337584
169,teknaf,20.8624,92.3058,25.6,81,22,3.1,BD,1731337586
170,termas de rio hondo,-27.4998,-64.8604,16.49,83,100,5.69,AR,1731337587
171,dolinsk,47.35,142.8,-1.68,76,29,2.15,RU,1731337588
172,pokrovsk,48.282,37.1758,4.23,60,84,3.48,UA,1731337589
173,wakkanai,45.4094,141.6739,4.66,57,5,3.62,JP,1731337591
174,petauke,-14.2426,31.3253,28.95,37,85,2.78,ZM,1731337592
175,colares,38.7992,-9.4469,23.43,68,20,3.6,PT,1731337593
176,ola,59.5833,151.2833,-11.72,90,100,7.15,RU,1731337595
177,port mathurin,-19.6833,63.4167,24.49,80,69,8.15,MU,1731337596
178,afaahiti,-17.75,-149.2833,23.41,84,99,6.48,PF,1731337597
179,lospalos,-8.5186,127.0025,22.05,85,100,1.91,TL,1731337598
180,nampula,-15.1165,39.2666,35.45,31,40,5.36,MZ,1731337599
181,saint-pierre,-21.3393,55.4781,26.82,78,75,4.12,RE,1731337500
182,milove,49.3787,40.1302,4.34,58,79,3.01,UA,1731337601
183,rocky mountain house,52.3668,-114.9188,-0.69,74,100,1.11,CA,1731337603
184,georgetown,5.4112,100.3354,27.96,83,40,5.36,MY,1731337555
185,kashin,57.3592,37.6081,-0.75,74,100,1.09,RU,1731337605
186,yadrin,55.9405,46.2062,0.42,82,100,1.7,RU,1731337606
187,robertsport,6.7533,-11.3686,28.61,73,20,5.87,LR,1731337607
188,uyar,55.81,94.3153,0.21,78,100,5.81,RU,1731337608
189,mahibadhoo,3.7833,72.9667,28.49,70,57,3.03,MV,1731337610
190,dubovka,49.0583,44.829,3.99,66,100,3.83,RU,1731337612
191,prince rupert,54.3161,-130.3201,4.55,81,97,3.23,CA,1731337615
192,aasiaat,68.7098,-52.8699,-7.28,79,100,0.96,GL,1731337616
193,nahiyat ash shinafiyah,31.5874,44.6602,28.77,26,3,5.69,IQ,1731337617
194,qaqortoq,60.7167,-46.0333,0.38,100,100,1.24,GL,1731337618
195,puerto quijarro,-17.7833,-57.7667,38.33,33,23,2.14,BO,1731337620
196,chissamba,-12.1667,17.3333,23.55,69,84,4.02,AO,1731337621
197,tual,-5.6667,132.75,28.84,76,99,7.48,ID,1731337622
198,kenai,60.5544,-151.2583,-8.97,86,0,1.54,US,1731337623
199,invercargill,-46.4,168.35,4.82,92,20,2.43,NZ,1731337624
200,dingzhou,38.5131,114.9956,11.56,75,0,1.21,CN,1731337625
201,gorgan,36.8387,54.4348,13.98,72,75,2.06,IR,1731337626
202,al burayqah,30.4062,19.5739,24.13,40,5,1.61,LY,1731337628
203,gamay,12.3854,125.2979,24.99,97,98,1.37,PH,1731337629
204,kununurra,-15.7667,128.7333,29.99,51,2,2.57,AU,1731337583
205,port isabel,26.0734,-97.2086,25.57,91,0,2.57,US,1731337631
206,minas de marcona,-15.2119,-75.1103,19.75,54,98,4.41,PE,1731337632
207,port saint john's,-31.6229,29.5448,19.09,82,97,1.92,ZA,1731337633
208,tazovsky,67.4667,78.7,-23.46,96,99,5.74,RU,1731337630
209,kanchanaburi,14.6333,99.1,23.79,90,16,0.89,TH,1731337635
210,plastun,44.7561,136.2939,0.16,58,63,1.33,RU,1731337637
211,tura,25.5198,90.2201,19.54,92,0,1.45,IN,1731337638
212,jurm,36.8648,70.8342,2.96,78,8,2.28,AF,1731337639
213,angaur state,6.906,134.13,28.43,72,100,1.94,PW,1731337640
214,khovd,48.0056,91.6419,0.14,41,99,3.87,MN,1731337472
215,lihue,21.9789,-159.3672,23.77,94,100,6.17,US,1731337643
216,klyuchi,52.2667,79.1667,-4.94,76,100,5.2,RU,1731337644
217,kolonia,50.9333,6.95,12.29,77,75,6.17,DE,1731337563
218,basse-terre,16.1667,-61.6667,26.58,83,75,2.06,GP,1731337646
219,bamboo flat,11.7,92.7167,27.05,83,40,1.03,IN,1731337648
220,gracemere,-23.4333,150.45,22.95,94,46,0.0,AU,1731337649
221,alaghsas,17.0187,8.0168,30.94,13,0,5.14,NE,1731337459
222,ust-tsilma,65.441,52.1498,-3.37,97,100,1.83,RU,1731337651
223,badger,64.8,-147.5333,-18.69,77,0,1.54,US,1731337652
224,nacala,-14.5428,40.6728,27.96,70,0,4.85,MZ,1731337653
225,selfoss,63.9331,-20.9971,10.58,98,100,8.02,IS,1731337654
226,qobustan,40.0824,49.412,13.42,75,100,5.97,AZ,1731337656
227,lazaro cardenas,17.9583,-102.2,27.12,74,14,1.21,MX,1731337657
228,conception bay south,47.4999,-52.9981,7.08,77,86,3.13,CA,1731337658
229,vernon,50.2581,-119.2691,6.53,90,100,0.75,CA,1731337660
230,belmonte,-15.8631,-38.8828,25.3,82,100,5.49,BR,1731337661
231,tamanrasset,22.785,5.5228,24.95,18,0,1.54,DZ,1731337662
232,pakokku,21.3333,95.1,25.02,76,0,0.74,MM,1731337664
233,ribeira grande,38.5167,-28.7,21.22,94,75,7.72,PT,1731337666
234,bulungu,-4.55,18.6,27.28,63,44,1.0,CD,1731337667
235,sungai penuh,-2.0833,101.3833,19.7,97,100,0.69,ID,1731337668
236,yuzhno-kurilsk,44.0306,145.8556,4.95,69,5,6.07,RU,1731337669
237,embi,48.8264,58.1442,-4.58,89,13,3.88,KZ,1731337672
238,pathein,16.7833,94.7333,24.23,92,8,2.1,MM,1731337673
239,coronel moldes,-33.6227,-64.5971,20.88,26,0,5.58,AR,1731337674
240,fort scott,37.8398,-94.7083,11.43,70,0,1.87,US,1731337406
241,nemuro,43.3236,145.575,6.99,62,8,3.85,JP,1731337676
242,carutapera,-1.195,-46.02,31.13,56,98,4.57,BR,1731337677
243,mormugao,15.4,73.8,28.59,74,75,2.57,IN,1731337679
244,kassala,15.451,36.4,34.91,21,5,6.13,SD,1731337680
245,zhangye,38.9342,100.4517,6.63,45,24,0.37,CN,1731337681
246,oltinko'l,40.8011,72.1634,12.08,51,13,1.46,UZ,1731337682
247,ulladulla,-35.35,150.4667,15.76,94,68,1.94,AU,1731337683
248,khandyga,62.6667,135.6,-21.64,100,100,0.36,RU,1731337684
